MsgID.STATE,1521883067.1269608,False,False
MsgID.LOCAL_VELOCITY,1521883073.7849581,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521883073.7849581,-0.1232620,0.1959380,-0.2102143
MsgID.LOCAL_VELOCITY,1521883073.7849581,0.0000071,-0.0000026,0.0000118
MsgID.STATE,1521883073.7849581,True,True
MsgID.GLOBAL_HOME,1521883073.7849581,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1521883073.7849581,-122.3974527,37.7924798,0.1770000
MsgID.LOCAL_VELOCITY,1521883073.7849581,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521883073.7849581,-0.0640621,0.0528284,-0.1771609
MsgID.LOCAL_VELOCITY,1521883073.7849581,-0.0000141,-0.0000042,0.0000196
MsgID.GLOBAL_POSITION,1521883073.7859566,-122.3974523,37.7924802,0.1420000
MsgID.LOCAL_VELOCITY,1521883073.7859566,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521883073.7859566,-0.0196125,0.0877972,-0.1420817
MsgID.LOCAL_VELOCITY,1521883073.7859566,0.0000011,-0.0000302,0.0000153
MsgID.GLOBAL_POSITION,1521883073.8769646,-122.3974523,37.7924789,0.1400000
MsgID.LOCAL_VELOCITY,1521883073.8769646,0.0000000,0.0000000,-0.7700000
MsgID.LOCAL_POSITION,1521883073.8769646,-0.1726918,0.0873408,-0.1402512
MsgID.LOCAL_VELOCITY,1521883073.8769646,0.0002015,-0.0004678,-0.7734305
MsgID.GLOBAL_POSITION,1521883074.1234946,-122.3974505,37.7924792,0.5750000
MsgID.LOCAL_VELOCITY,1521883074.1234946,0.0000000,0.0000000,-2.8400000
MsgID.LOCAL_POSITION,1521883074.1234946,-0.1368092,0.2481992,-0.5759864
MsgID.LOCAL_VELOCITY,1521883074.1234946,0.0087814,-0.0000449,-2.8442783
MsgID.STATE,1521883074.3598747,True,True
MsgID.GLOBAL_HOME,1521883074.3598747,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1521883074.3738875,-122.3974496,37.7924800,1.3870000
MsgID.LOCAL_VELOCITY,1521883074.3738875,0.0100000,-0.0100000,-3.6300000
MsgID.LOCAL_POSITION,1521883074.3738875,-0.0410426,0.3244192,-1.3872073
MsgID.LOCAL_VELOCITY,1521883074.3738875,0.0125393,-0.0190388,-3.6373577
MsgID.GLOBAL_POSITION,1521883074.6241179,-122.3974525,37.7924801,2.3230000
MsgID.LOCAL_VELOCITY,1521883074.6241179,0.0000000,-0.0200000,-3.8600000
MsgID.LOCAL_POSITION,1521883074.6241179,-0.0394826,0.0698222,-2.3233156
MsgID.LOCAL_VELOCITY,1521883074.6241179,-0.0022937,-0.0297374,-3.8669364
MsgID.GLOBAL_POSITION,1521883074.8776731,-122.3974524,37.7924795,3.3050000
MsgID.LOCAL_VELOCITY,1521883074.8776731,0.0000000,-0.0100000,-3.9400000
